Wavelength,Intensity
2.864730000000000018e+03,7.000000000000000000e+01
2.895219999999999800e+03,5.000000000000000000e+01
2.979320000000000164e+03,1.300000000000000000e+02
3.017429999999999836e+03,3.000000000000000000e+01
3.121869999999999891e+03,1.000000000000000000e+02
3.366719999999999800e+03,7.000000000000000000e+01
3.461260000000000218e+03,3.000000000000000000e+01
3.506739999999999782e+03,1.000000000000000000e+00
3.549860000000000127e+03,1.000000000000000000e+00
3.554039999999999964e+03,1.000000000000000000e+00
3.610320000000000164e+03,2.000000000000000000e+00
3.613059999999999945e+03,1.000000000000000000e+00
3.633059999999999945e+03,1.000000000000000000e+00
3.669909999999999854e+03,1.000000000000000000e+00
3.685900000000000091e+03,4.000000000000000000e+00
3.693489999999999782e+03,4.000000000000000000e+00
3.907909999999999854e+03,3.000000000000000000e+01
4.037590000000000146e+03,3.000000000000000000e+01
4.057460000000000036e+03,7.000000000000000000e+01
4.098890000000000327e+03,3.000000000000000000e+01
4.158039999999999964e+03,7.000000000000000000e+01
4.180100000000000364e+03,3.000000000000000000e+02
4.193149999999999636e+03,1.500000000000000000e+02
4.208479999999999563e+03,1.000000000000000000e+02
4.209470000000000255e+03,3.000000000000000000e+01
4.213720000000000255e+03,1.000000000000000000e+02
4.215600000000000364e+03,3.000000000000000000e+01
4.223000000000000000e+03,1.000000000000000000e+02
4.238250000000000000e+03,1.300000000000000000e+02
4.245380000000000109e+03,1.500000000000000000e+02
4.251569999999999709e+03,3.000000000000000000e+01
4.296399999999999636e+03,1.500000000000000000e+02
4.310510000000000218e+03,1.500000000000000000e+02
4.330520000000000437e+03,3.000000000000000000e+02
4.369199999999999818e+03,7.000000000000000000e+01
4.373779999999999745e+03,3.000000000000000000e+01
4.393199999999999818e+03,1.500000000000000000e+02
4.395770000000000437e+03,1.500000000000000000e+02
4.406880000000000109e+03,7.000000000000000000e+01
4.416069999999999709e+03,5.000000000000000000e+01
4.448130000000000109e+03,1.500000000000000000e+02
4.462189999999999600e+03,3.000000000000000000e+02
4.480859999999999673e+03,1.500000000000000000e+02
4.521859999999999673e+03,3.000000000000000000e+01
4.734152000000000044e+03,6.000000000000000000e+01
4.792618999999999687e+03,1.500000000000000000e+01
4.807020000000000437e+03,5.000000000000000000e+01
4.829710000000000036e+03,4.000000000000000000e+01
4.843289999999999964e+03,3.000000000000000000e+01
4.844329999999999927e+03,7.000000000000000000e+02
4.916510000000000218e+03,5.000000000000000000e+01
4.923152000000000044e+03,5.000000000000000000e+01
4.971710000000000036e+03,7.000000000000000000e+01
4.972710000000000036e+03,1.300000000000000000e+02
4.988770000000000437e+03,1.000000000000000000e+02
4.991170000000000073e+03,3.000000000000000000e+01
5.028279999999999745e+03,2.000000000000000000e+01
5.044920000000000073e+03,7.000000000000000000e+01
5.080619999999999891e+03,3.000000000000000000e+02
5.122420000000000073e+03,1.000000000000000000e+02
5.125699999999999818e+03,3.000000000000000000e+01
5.178819999999999709e+03,3.000000000000000000e+01
5.188039999999999964e+03,1.000000000000000000e+02
5.191369999999999891e+03,1.300000000000000000e+02
5.192100000000000364e+03,3.000000000000000000e+01
5.260439999999999600e+03,1.500000000000000000e+02
5.261949999999999818e+03,1.500000000000000000e+02
5.292220000000000255e+03,7.000000000000000000e+02
5.309270000000000437e+03,1.000000000000000000e+02
5.313869999999999891e+03,3.000000000000000000e+02
5.339329999999999927e+03,7.000000000000000000e+02
5.363199999999999818e+03,7.000000000000000000e+01
5.368069999999999709e+03,7.000000000000000000e+01
5.372390000000000327e+03,1.500000000000000000e+02
5.392800000000000182e+03,1.000000000000000000e+01
5.419149999999999636e+03,1.000000000000000000e+03
5.438960000000000036e+03,2.500000000000000000e+02
5.445449999999999818e+03,1.000000000000000000e+02
5.450449999999999818e+03,7.000000000000000000e+01
5.460390000000000327e+03,1.300000000000000000e+02
5.472609999999999673e+03,3.000000000000000000e+02
5.494859999999999673e+03,3.000000000000000000e+01
5.525529999999999745e+03,7.000000000000000000e+01
5.531069999999999709e+03,2.000000000000000000e+02
5.566619999999999891e+03,1.000000000000000000e+01
5.616670000000000073e+03,1.000000000000000000e+02
5.659380000000000109e+03,1.000000000000000000e+02
5.667560000000000400e+03,2.000000000000000000e+02
5.670909999999999854e+03,5.000000000000000000e+01
5.695750000000000000e+03,1.000000000000000000e+01
5.699609999999999673e+03,7.000000000000000000e+01
5.716100000000000364e+03,7.000000000000000000e+01
5.726909999999999854e+03,1.500000000000000000e+02
5.751029999999999745e+03,1.500000000000000000e+02
5.758649999999999636e+03,1.000000000000000000e+02
5.776390000000000327e+03,1.000000000000000000e+02
5.815960000000000036e+03,3.000000000000000000e+01
5.823890000000000327e+03,3.000000000000000000e+01
5.824800000000000182e+03,1.500000000000000000e+01
5.875020000000000437e+03,1.000000000000000000e+01
5.893289999999999964e+03,1.000000000000000000e+02
5.894989999999999782e+03,1.000000000000000000e+01
5.905130000000000109e+03,7.000000000000000000e+01
5.934170000000000073e+03,1.000000000000000000e+01
5.945529999999999745e+03,1.500000000000000000e+02
5.971130000000000109e+03,1.000000000000000000e+02
5.976460000000000036e+03,7.000000000000000000e+02
6.008920000000000073e+03,7.000000000000000000e+01
6.036199999999999818e+03,3.000000000000000000e+02
6.051149999999999636e+03,7.000000000000000000e+02
6.093500000000000000e+03,2.000000000000000000e+02
6.097590000000000146e+03,5.000000000000000000e+02
6.101430000000000291e+03,1.300000000000000000e+02
6.115079999999999927e+03,3.000000000000000000e+01
6.146449999999999818e+03,3.000000000000000000e+01
6.178300000000000182e+03,1.500000000000000000e+01
6.179659999999999854e+03,1.200000000000000000e+01
6.182420000000000073e+03,3.000000000000000000e+01
6.194069999999999709e+03,1.500000000000000000e+02
6.198260000000000218e+03,1.000000000000000000e+01
6.270819999999999709e+03,1.500000000000000000e+02
6.277539999999999964e+03,1.300000000000000000e+02
6.284409999999999854e+03,3.000000000000000000e+01
6.286010000000000218e+03,1.000000000000000000e+01
6.300859999999999673e+03,8.000000000000000000e+01
6.318060000000000400e+03,5.000000000000000000e+01
6.343960000000000036e+03,1.300000000000000000e+02
6.356350000000000364e+03,2.000000000000000000e+02
6.375279999999999745e+03,7.000000000000000000e+01
6.397989999999999782e+03,3.000000000000000000e+01
6.469699999999999818e+03,3.000000000000000000e+01
6.472840000000000146e+03,1.500000000000000000e+01
6.487760000000000218e+03,1.200000000000000000e+01
6.498720000000000255e+03,1.000000000000000000e+01
6.504180000000000291e+03,2.000000000000000000e+01
6.512829999999999927e+03,1.000000000000000000e+02
6.528649999999999636e+03,7.000000000000000000e+01
6.533159999999999854e+03,1.000000000000000000e+01
6.595010000000000218e+03,3.000000000000000000e+02
6.595560000000000400e+03,1.000000000000000000e+01
6.597250000000000000e+03,1.300000000000000000e+02
6.598840000000000146e+03,3.000000000000000000e+01
6.668920000000000073e+03,1.500000000000000000e+01
6.694319999999999709e+03,1.000000000000000000e+02
6.728010000000000218e+03,2.000000000000000000e+01
6.788710000000000036e+03,5.000000000000000000e+01
6.790369999999999891e+03,3.000000000000000000e+01
6.805739999999999782e+03,3.000000000000000000e+02
6.827319999999999709e+03,2.000000000000000000e+01
6.872109999999999673e+03,1.000000000000000000e+01
6.882159999999999854e+03,3.000000000000000000e+01
6.910220000000000255e+03,2.500000000000000000e+01
6.925529999999999745e+03,1.000000000000000000e+01
6.942109999999999673e+03,2.500000000000000000e+02
6.976180000000000291e+03,1.000000000000000000e+01
6.990880000000000109e+03,7.000000000000000000e+02
7.082149999999999636e+03,5.000000000000000000e+01
7.119600000000000364e+03,5.000000000000000000e+01
7.147500000000000000e+03,1.500000000000000000e+01
7.149029999999999745e+03,7.000000000000000000e+01
7.164829999999999927e+03,1.500000000000000000e+02
7.284340000000000146e+03,3.000000000000000000e+01
7.301800000000000182e+03,7.000000000000000000e+01
7.339300000000000182e+03,7.000000000000000000e+01
7.386000000000000000e+03,1.000000000000000000e+01
7.393789999999999964e+03,1.500000000000000000e+01
7.548449999999999818e+03,1.000000000000000000e+02
7.584680000000000291e+03,2.000000000000000000e+01
7.618569999999999709e+03,2.500000000000000000e+01
7.642020000000000437e+03,5.000000000000000000e+01
7.643909999999999854e+03,1.000000000000000000e+01
7.670659999999999854e+03,7.000000000000000000e+01
7.787039999999999964e+03,2.000000000000000000e+01
7.802649999999999636e+03,1.000000000000000000e+01
7.881319999999999709e+03,1.000000000000000000e+01
7.887399999999999636e+03,3.000000000000000000e+01
7.967340000000000146e+03,5.000000000000000000e+01
8.029670000000000073e+03,1.000000000000000000e+01
8.057260000000000218e+03,2.000000000000000000e+01
8.061340000000000146e+03,1.500000000000000000e+01
8.101979999999999563e+03,1.000000000000000000e+01
8.151800000000000182e+03,5.000000000000000000e+01
8.171020000000000437e+03,1.000000000000000000e+01
8.206340000000000146e+03,7.000000000000000000e+01
8.231635000000000218e+03,1.000000000000000000e+03
8.266520000000000437e+03,5.000000000000000000e+01
8.280117000000000189e+03,7.000000000000000000e+02
8.346823000000000320e+03,2.000000000000000000e+02
8.347239999999999782e+03,3.000000000000000000e+01
8.409191000000000713e+03,2.000000000000000000e+02
8.515190000000000509e+03,1.500000000000000000e+01
8.576010000000000218e+03,2.000000000000000000e+01
8.604229999999999563e+03,1.500000000000000000e+01
8.648540000000000873e+03,2.500000000000000000e+01
8.692200000000000728e+03,1.000000000000000000e+01
8.696860000000000582e+03,2.000000000000000000e+01
8.716190000000000509e+03,1.500000000000000000e+01
8.739389999999999418e+03,3.000000000000000000e+01
8.758200000000000728e+03,1.000000000000000000e+01
8.819411000000000058e+03,5.000000000000000000e+02
8.862319999999999709e+03,3.000000000000000000e+01
8.908729999999999563e+03,2.000000000000000000e+01
8.930829999999999927e+03,2.000000000000000000e+01
8.952252000000000407e+03,1.000000000000000000e+02
8.981049999999999272e+03,1.000000000000000000e+01
8.987569999999999709e+03,2.000000000000000000e+01
9.045450000000000728e+03,4.000000000000000000e+01
